numero,variable,region,model,langue,surprisal
1,TruthPos,20.28653907775879,BERT,bb,0
1,TruthPos,23.53150177001953,BERT,bb,0
1,TruthPos,24.874284744262695,BERT,bb,0
1,FalseNeg,27.031978607177734,BERT,bb,0
1,FalseNeg,28.050151824951172,BERT,bb,0
1,FalseNeg,31.053564071655273,BERT,bb,0
2,TruthPos,18.254718780517578,BERT,bb,0
2,TruthPos,28.634233474731445,BERT,bb,0
2,TruthPos,17.947010040283203,BERT,bb,0
2,FalseNeg,26.835344314575195,BERT,bb,0
2,FalseNeg,33.456600189208984,BERT,bb,0
2,FalseNeg,27.025712966918945,BERT,bb,0
3,TruthPos,17.86325454711914,BERT,bb,0
3,TruthPos,15.677087783813477,BERT,bb,0
3,TruthPos,17.149898529052734,BERT,bb,0
3,FalseNeg,26.83560562133789,BERT,bb,0
3,FalseNeg,26.28626823425293,BERT,bb,0
3,FalseNeg,26.512584686279297,BERT,bb,0
4,TruthPos,16.36476707458496,BERT,bb,0
4,TruthPos,15.315925598144531,BERT,bb,0
4,TruthPos,17.142179489135742,BERT,bb,0
4,FalseNeg,26.615530014038086,BERT,bb,0
4,FalseNeg,25.331218719482422,BERT,bb,0
4,FalseNeg,26.864534378051758,BERT,bb,0
5,TruthNeg,17.295822143554688,BERT,bb,0
5,TruthNeg,20.605802536010742,BERT,bb,0
5,TruthNeg,21.776426315307617,BERT,bb,0
5,FalsePos,26.15167236328125,BERT,bb,0
5,FalsePos,27.489181518554688,BERT,bb,0
5,FalsePos,25.534400939941406,BERT,bb,0
6,TruthPos,17.7315616607666,BERT,bb,0
6,TruthPos,20.74740219116211,BERT,bb,0
6,TruthPos,18.608964920043945,BERT,bb,0
6,FalseNeg,25.41571044921875,BERT,bb,0
6,FalseNeg,27.69216537475586,BERT,bb,0
6,FalseNeg,25.412315368652344,BERT,bb,0
7,TruthNeg,15.968408584594727,BERT,bb,0
7,TruthNeg,27.22367286682129,BERT,bb,0
7,TruthNeg,26.57416534423828,BERT,bb,0
7,FalsePos,29.132604598999023,BERT,bb,0
7,FalsePos,32.604591369628906,BERT,bb,0
7,FalsePos,35.069610595703125,BERT,bb,0
8,TruthNeg,18.788551330566406,BERT,bb,0
8,TruthNeg,16.75559425354004,BERT,bb,0
8,TruthNeg,15.313582420349121,BERT,bb,0
8,FalsePos,25.714567184448242,BERT,bb,0
8,FalsePos,32.15827941894531,BERT,bb,0
8,FalsePos,23.13623809814453,BERT,bb,0
9,TruthPos,12.854549407958984,BERT,bb,0
9,TruthPos,17.532306671142578,BERT,bb,0
9,TruthPos,16.84782600402832,BERT,bb,0
9,FalseNeg,24.241575241088867,BERT,bb,0
9,FalseNeg,40.66325378417969,BERT,bb,0
9,FalseNeg,24.965307235717773,BERT,bb,0
10,TruthNeg,19.077072143554688,BERT,bb,0
10,TruthNeg,18.07775115966797,BERT,bb,0
10,TruthNeg,14.427069664001465,BERT,bb,0
10,FalsePos,26.89898681640625,BERT,bb,0
10,FalsePos,27.81827163696289,BERT,bb,0
10,FalsePos,24.293622970581055,BERT,bb,0
11,TruthNeg,18.06825065612793,BERT,bb,0
11,TruthNeg,20.76101303100586,BERT,bb,0
11,TruthNeg,17.00736427307129,BERT,bb,0
11,FalsePos,27.822938919067383,BERT,bb,0
11,FalsePos,28.59928321838379,BERT,bb,0
11,FalsePos,27.27593231201172,BERT,bb,0
12,TruthPos,27.407011032104492,BERT,bb,0
12,TruthPos,23.47109031677246,BERT,bb,0
12,TruthPos,25.127798080444336,BERT,bb,0
12,FalseNeg,32.22682189941406,BERT,bb,0
12,FalseNeg,30.315860748291016,BERT,bb,0
12,FalseNeg,28.729909896850586,BERT,bb,0
13,TruthNeg,16.16373062133789,BERT,bb,0
13,TruthNeg,24.586048126220703,BERT,bb,0
13,TruthNeg,15.429006576538086,BERT,bb,0
13,FalsePos,25.421669006347656,BERT,bb,0
13,FalsePos,27.351917266845703,BERT,bb,0
13,FalsePos,25.096282958984375,BERT,bb,0
14,TruthNeg,17.81648063659668,BERT,bb,0
14,TruthNeg,16.995771408081055,BERT,bb,0
14,TruthNeg,23.47650718688965,BERT,bb,0
14,FalsePos,25.160547256469727,BERT,bb,0
14,FalsePos,25.356433868408203,BERT,bb,0
14,FalsePos,25.40801239013672,BERT,bb,0
15,TruthNeg,16.76615333557129,BERT,bb,0
15,TruthNeg,25.05484390258789,BERT,bb,0
15,TruthNeg,16.862730026245117,BERT,bb,0
15,FalsePos,30.48904037475586,BERT,bb,0
15,FalsePos,33.21873092651367,BERT,bb,0
15,FalsePos,25.396286010742188,BERT,bb,0
16,TruthPos,17.6597957611084,BERT,bb,0
16,TruthPos,23.637542724609375,BERT,bb,0
16,TruthPos,18.05062484741211,BERT,bb,0
16,FalseNeg,24.013639450073242,BERT,bb,0
16,FalseNeg,25.739221572875977,BERT,bb,0
16,FalseNeg,30.237184524536133,BERT,bb,0
17,TruthNeg,15.630587577819824,BERT,bb,0
17,TruthNeg,24.838397979736328,BERT,bb,0
17,TruthNeg,39.11576843261719,BERT,bb,0
17,FalsePos,33.557289123535156,BERT,bb,0
17,FalsePos,29.248783111572266,BERT,bb,0
17,FalsePos,32.01230239868164,BERT,bb,0
