numero,variable,region,model,langue,surprisal
1,TruthPos,28.65928077697754,BERT,English,0
1,TruthPos,30.782316207885742,BERT,English,0
1,TruthPos,33.79689407348633,BERT,English,0
1,FalseNeg,24.065677642822266,BERT,English,0
1,FalseNeg,23.743988037109375,BERT,English,0
1,FalseNeg,25.906227111816406,BERT,English,0
2,TruthPos,29.39647102355957,BERT,English,0
2,TruthPos,28.5611515045166,BERT,English,0
2,TruthPos,26.672470092773438,BERT,English,0
2,FalseNeg,25.247013092041016,BERT,English,0
2,FalseNeg,23.184568405151367,BERT,English,0
2,FalseNeg,19.683156967163086,BERT,English,0
3,TruthPos,23.20333480834961,BERT,English,0
3,TruthPos,28.562110900878906,BERT,English,0
3,TruthPos,25.834320068359375,BERT,English,0
3,FalseNeg,23.778202056884766,BERT,English,0
3,FalseNeg,25.091413497924805,BERT,English,0
3,FalseNeg,25.526561737060547,BERT,English,0
4,TruthPos,29.297237396240234,BERT,English,0
4,TruthPos,29.09536361694336,BERT,English,0
4,TruthPos,32.59635543823242,BERT,English,0
4,FalseNeg,24.336990356445312,BERT,English,0
4,FalseNeg,23.473241806030273,BERT,English,0
4,FalseNeg,26.67688751220703,BERT,English,0
5,TruthNeg,20.902099609375,BERT,English,0
5,TruthNeg,28.021400451660156,BERT,English,0
5,TruthNeg,30.993818283081055,BERT,English,0
5,FalsePos,19.063282012939453,BERT,English,0
5,FalsePos,23.585063934326172,BERT,English,0
5,FalsePos,24.690719604492188,BERT,English,0
6,TruthPos,27.139005661010742,BERT,English,0
6,TruthPos,33.93201446533203,BERT,English,0
6,TruthPos,34.95716857910156,BERT,English,0
6,FalseNeg,18.917057037353516,BERT,English,0
6,FalseNeg,25.556516647338867,BERT,English,0
6,FalseNeg,28.009870529174805,BERT,English,0
7,TruthNeg,23.36392593383789,BERT,English,0
7,TruthNeg,28.44892120361328,BERT,English,0
7,TruthNeg,30.67924690246582,BERT,English,0
7,FalsePos,20.74149513244629,BERT,English,0
7,FalsePos,19.810287475585938,BERT,English,0
7,FalsePos,25.24710464477539,BERT,English,0
8,TruthNeg,24.955257415771484,BERT,English,0
8,TruthNeg,27.969364166259766,BERT,English,0
8,TruthNeg,28.778770446777344,BERT,English,0
8,FalsePos,23.485382080078125,BERT,English,0
8,FalsePos,19.115217208862305,BERT,English,0
8,FalsePos,21.650875091552734,BERT,English,0
9,TruthPos,27.73269271850586,BERT,English,0
9,TruthPos,35.672447204589844,BERT,English,0
9,TruthPos,32.64651870727539,BERT,English,0
9,FalseNeg,17.0186767578125,BERT,English,0
9,FalseNeg,24.077167510986328,BERT,English,0
9,FalseNeg,25.562768936157227,BERT,English,0
10,TruthNeg,28.27791976928711,BERT,English,0
10,TruthNeg,28.02196502685547,BERT,English,0
10,TruthNeg,27.210432052612305,BERT,English,0
10,FalsePos,22.290340423583984,BERT,English,0
10,FalsePos,15.512027740478516,BERT,English,0
10,FalsePos,22.584163665771484,BERT,English,0
11,TruthNeg,25.897872924804688,BERT,English,0
11,TruthNeg,24.447107315063477,BERT,English,0
11,TruthNeg,23.635982513427734,BERT,English,0
11,FalsePos,12.298501014709473,BERT,English,0
11,FalsePos,22.15785789489746,BERT,English,0
11,FalsePos,18.006423950195312,BERT,English,0
12,TruthPos,27.829776763916016,BERT,English,0
12,TruthPos,33.86693572998047,BERT,English,0
12,TruthPos,31.81430435180664,BERT,English,0
12,FalseNeg,20.865558624267578,BERT,English,0
12,FalseNeg,24.119915008544922,BERT,English,0
12,FalseNeg,23.02422523498535,BERT,English,0
13,TruthNeg,25.949308395385742,BERT,English,0
13,TruthNeg,28.3071231842041,BERT,English,0
13,TruthNeg,29.841873168945312,BERT,English,0
13,FalsePos,19.678409576416016,BERT,English,0
13,FalsePos,20.538990020751953,BERT,English,0
13,FalsePos,24.704113006591797,BERT,English,0
14,TruthNeg,26.363576889038086,BERT,English,0
14,TruthNeg,32.85957717895508,BERT,English,0
14,TruthNeg,32.27528381347656,BERT,English,0
14,FalsePos,20.42133903503418,BERT,English,0
14,FalsePos,25.40965461730957,BERT,English,0
14,FalsePos,26.2493839263916,BERT,English,0
15,TruthNeg,36.13934326171875,BERT,English,0
15,TruthNeg,29.741445541381836,BERT,English,0
15,TruthNeg,28.436281204223633,BERT,English,0
15,FalsePos,29.602821350097656,BERT,English,0
15,FalsePos,25.228471755981445,BERT,English,0
15,FalsePos,23.726259231567383,BERT,English,0
16,TruthPos,35.356529235839844,BERT,English,0
16,TruthPos,38.16611099243164,BERT,English,0
16,TruthPos,30.08981704711914,BERT,English,0
16,FalseNeg,28.605785369873047,BERT,English,0
16,FalseNeg,33.290103912353516,BERT,English,0
16,FalseNeg,24.307636260986328,BERT,English,0
17,TruthNeg,21.960241317749023,BERT,English,0
17,TruthNeg,35.7720832824707,BERT,English,0
17,TruthNeg,27.78347396850586,BERT,English,0
17,FalsePos,19.75053596496582,BERT,English,0
17,FalsePos,28.67163848876953,BERT,English,0
17,FalsePos,23.83788299560547,BERT,English,0
