numero,variable,region,model,langue,surprisal
1,TruthPos,18.399946212768555,BERT,PHS,0
1,TruthPos,22.52376365661621,BERT,PHS,0
1,TruthPos,21.877676010131836,BERT,PHS,0
1,FalseNeg,22.92562484741211,BERT,PHS,0
1,FalseNeg,21.585119247436523,BERT,PHS,0
1,FalseNeg,19.083406448364258,BERT,PHS,0
2,TruthPos,26.01432991027832,BERT,PHS,0
2,TruthPos,19.802141189575195,BERT,PHS,0
2,TruthPos,25.00568389892578,BERT,PHS,0
2,FalseNeg,28.140594482421875,BERT,PHS,0
2,FalseNeg,20.516647338867188,BERT,PHS,0
2,FalseNeg,27.92987632751465,BERT,PHS,0
3,TruthPos,20.53874397277832,BERT,PHS,0
3,TruthPos,23.895702362060547,BERT,PHS,0
3,TruthPos,20.68959617614746,BERT,PHS,0
3,FalseNeg,25.417522430419922,BERT,PHS,0
3,FalseNeg,20.92113494873047,BERT,PHS,0
3,FalseNeg,18.627172470092773,BERT,PHS,0
4,TruthPos,28.768579483032227,BERT,PHS,0
4,TruthPos,19.125144958496094,BERT,PHS,0
4,TruthPos,20.036863327026367,BERT,PHS,0
4,FalseNeg,30.247217178344727,BERT,PHS,0
4,FalseNeg,25.104372024536133,BERT,PHS,0
4,FalseNeg,21.71280860900879,BERT,PHS,0
5,TruthNeg,18.4055118560791,BERT,PHS,0
5,TruthNeg,25.85045623779297,BERT,PHS,0
5,TruthNeg,22.246328353881836,BERT,PHS,0
5,FalsePos,26.146852493286133,BERT,PHS,0
5,FalsePos,27.931119918823242,BERT,PHS,0
5,FalsePos,21.053817749023438,BERT,PHS,0
6,TruthPos,20.865890502929688,BERT,PHS,0
6,TruthPos,23.760021209716797,BERT,PHS,0
6,TruthPos,20.38665199279785,BERT,PHS,0
6,FalseNeg,28.244230270385742,BERT,PHS,0
6,FalseNeg,21.682540893554688,BERT,PHS,0
6,FalseNeg,25.51870346069336,BERT,PHS,0
7,TruthNeg,18.590824127197266,BERT,PHS,0
7,TruthNeg,26.04714012145996,BERT,PHS,0
7,TruthNeg,13.71107292175293,BERT,PHS,0
7,FalsePos,23.888011932373047,BERT,PHS,0
7,FalsePos,22.078706741333008,BERT,PHS,0
7,FalsePos,17.363967895507812,BERT,PHS,0
8,TruthNeg,21.70299530029297,BERT,PHS,0
8,TruthNeg,26.832456588745117,BERT,PHS,0
8,TruthNeg,18.930723190307617,BERT,PHS,0
8,FalsePos,21.428354263305664,BERT,PHS,0
8,FalsePos,23.523008346557617,BERT,PHS,0
8,FalsePos,19.075008392333984,BERT,PHS,0
9,TruthPos,12.547496795654297,BERT,PHS,0
9,TruthPos,21.608346939086914,BERT,PHS,0
9,TruthPos,20.843544006347656,BERT,PHS,0
9,FalseNeg,15.010641098022461,BERT,PHS,0
9,FalseNeg,15.742631912231445,BERT,PHS,0
9,FalseNeg,21.00455665588379,BERT,PHS,0
10,TruthNeg,21.551454544067383,BERT,PHS,0
10,TruthNeg,26.857391357421875,BERT,PHS,0
10,TruthNeg,17.64170265197754,BERT,PHS,0
10,FalsePos,24.54834747314453,BERT,PHS,0
10,FalsePos,21.27366065979004,BERT,PHS,0
10,FalsePos,19.792055130004883,BERT,PHS,0
11,TruthNeg,17.912460327148438,BERT,PHS,0
11,TruthNeg,28.84359359741211,BERT,PHS,0
11,TruthNeg,15.317273139953613,BERT,PHS,0
11,FalsePos,19.30333137512207,BERT,PHS,0
11,FalsePos,27.040464401245117,BERT,PHS,0
11,FalsePos,20.515167236328125,BERT,PHS,0
12,TruthPos,24.16265106201172,BERT,PHS,0
12,TruthPos,27.28021812438965,BERT,PHS,0
12,TruthPos,23.324777603149414,BERT,PHS,0
12,FalseNeg,29.4256534576416,BERT,PHS,0
12,FalseNeg,26.7113094329834,BERT,PHS,0
12,FalseNeg,26.180694580078125,BERT,PHS,0
13,TruthNeg,17.898801803588867,BERT,PHS,0
13,TruthNeg,27.286136627197266,BERT,PHS,0
13,TruthNeg,17.370691299438477,BERT,PHS,0
13,FalsePos,22.780330657958984,BERT,PHS,0
13,FalsePos,24.816184997558594,BERT,PHS,0
13,FalsePos,18.85062026977539,BERT,PHS,0
14,TruthNeg,21.038196563720703,BERT,PHS,0
14,TruthNeg,30.180585861206055,BERT,PHS,0
14,TruthNeg,26.103307723999023,BERT,PHS,0
14,FalsePos,22.69162940979004,BERT,PHS,0
14,FalsePos,27.620214462280273,BERT,PHS,0
14,FalsePos,27.602773666381836,BERT,PHS,0
15,TruthNeg,22.59921646118164,BERT,PHS,0
15,TruthNeg,21.305727005004883,BERT,PHS,0
15,TruthNeg,20.023025512695312,BERT,PHS,0
15,FalsePos,25.191043853759766,BERT,PHS,0
15,FalsePos,17.3597354888916,BERT,PHS,0
15,FalsePos,22.719240188598633,BERT,PHS,0
16,TruthPos,24.978843688964844,BERT,PHS,0
16,TruthPos,30.308801651000977,BERT,PHS,0
16,TruthPos,23.927703857421875,BERT,PHS,0
16,FalseNeg,24.87334632873535,BERT,PHS,0
16,FalseNeg,26.2703857421875,BERT,PHS,0
16,FalseNeg,20.876060485839844,BERT,PHS,0
17,TruthNeg,17.147417068481445,BERT,PHS,0
17,TruthNeg,27.581146240234375,BERT,PHS,0
17,TruthNeg,17.018634796142578,BERT,PHS,0
17,FalsePos,21.318511962890625,BERT,PHS,0
17,FalsePos,25.132375717163086,BERT,PHS,0
17,FalsePos,16.400896072387695,BERT,PHS,0
