numero,variable,region,model,langue,surprisal
1,TruthNeg,8.043490409851074,BERT,Chinese,0
1,TruthNeg,10.00395679473877,BERT,Chinese,0
1,TruthNeg,20.564041137695312,BERT,Chinese,0
1,FalsePos,7.634954452514648,BERT,Chinese,0
1,FalsePos,10.840224266052246,BERT,Chinese,0
1,FalsePos,20.564041137695312,BERT,Chinese,0
2,TruthNeg,7.194879055023193,BERT,Chinese,0
2,TruthNeg,6.019160747528076,BERT,Chinese,0
2,TruthNeg,14.808473587036133,BERT,Chinese,0
2,FalsePos,5.6678595542907715,BERT,Chinese,0
2,FalsePos,6.872200012207031,BERT,Chinese,0
2,FalsePos,14.808473587036133,BERT,Chinese,0
3,TruthNeg,8.388087272644043,BERT,Chinese,0
3,TruthNeg,14.094682693481445,BERT,Chinese,0
3,TruthNeg,14.940593719482422,BERT,Chinese,0
3,FalsePos,8.213064193725586,BERT,Chinese,0
3,FalsePos,17.166065216064453,BERT,Chinese,0
3,FalsePos,14.940593719482422,BERT,Chinese,0
4,TruthNeg,10.254264831542969,BERT,Chinese,0
4,TruthNeg,8.978706359863281,BERT,Chinese,0
4,TruthNeg,14.211634635925293,BERT,Chinese,0
4,FalsePos,8.980436325073242,BERT,Chinese,0
4,FalsePos,7.598247528076172,BERT,Chinese,0
4,FalsePos,14.211634635925293,BERT,Chinese,0
5,TruthNeg,16.126834869384766,BERT,Chinese,0
5,TruthNeg,12.44215202331543,BERT,Chinese,0
5,TruthNeg,23.0333194732666,BERT,Chinese,0
5,FalsePos,15.34792423248291,BERT,Chinese,0
5,FalsePos,12.964096069335938,BERT,Chinese,0
5,FalsePos,23.0333194732666,BERT,Chinese,0
6,TruthPos,4.5306525230407715,BERT,Chinese,0
6,TruthPos,12.698628425598145,BERT,Chinese,0
6,TruthPos,12.314610481262207,BERT,Chinese,0
6,FalseNeg,4.280856609344482,BERT,Chinese,0
6,FalseNeg,13.234665870666504,BERT,Chinese,0
6,FalseNeg,12.314610481262207,BERT,Chinese,0
7,TruthNeg,20.515901565551758,BERT,Chinese,0
7,TruthNeg,12.24238109588623,BERT,Chinese,0
7,TruthNeg,17.26955795288086,BERT,Chinese,0
7,FalsePos,19.4013729095459,BERT,Chinese,0
7,FalsePos,11.341415405273438,BERT,Chinese,0
7,FalsePos,17.26955795288086,BERT,Chinese,0
8,TruthNeg,7.262104034423828,BERT,Chinese,0
8,TruthNeg,1.9273037910461426,BERT,Chinese,0
8,TruthNeg,9.726795196533203,BERT,Chinese,0
8,FalsePos,6.752837181091309,BERT,Chinese,0
8,FalsePos,1.9554171562194824,BERT,Chinese,0
8,FalsePos,9.608354568481445,BERT,Chinese,0
9,TruthNeg,8.396958351135254,BERT,Chinese,0
9,TruthNeg,5.729052543640137,BERT,Chinese,0
9,TruthNeg,14.067227363586426,BERT,Chinese,0
9,FalsePos,8.221927642822266,BERT,Chinese,0
9,FalsePos,6.6271257400512695,BERT,Chinese,0
9,FalsePos,14.067227363586426,BERT,Chinese,0
10,TruthNeg,6.231138229370117,BERT,Chinese,0
10,TruthNeg,11.62734603881836,BERT,Chinese,0
10,TruthNeg,19.090017318725586,BERT,Chinese,0
10,FalsePos,6.19265604019165,BERT,Chinese,0
10,FalsePos,12.346656799316406,BERT,Chinese,0
10,FalsePos,19.090017318725586,BERT,Chinese,0
